ICN,Incident_Date,Date_Stamp,Subject,Country,ISO-3166-2,City,Geocode,Geocode_Anchor,Incident_Group_Type,Summary,Related_Term,Incident_Victims_Dead,Incident_Victims_Hostaged,Incident_Victims_Wounded,Incident_Included_Victims,Weapon,Event_Type,Geocode_Has_Value,Province_State,Assassination,IED,Incident_Day,Incident_Month,Month_Number,Incident_Year
201008134,22-Apr-10,2010-04-22,"1 government official held hostage in Sumisip, Basilan, Philippines",Philippines,PH,Sumisip,"6.419722,121.971390","Sumisip, Basilan, Philippines,",Unknown,"On 22 April 2010, in Central Sumisip, Sumisip, Basilan, Philippines, 10 armed assailants held a village chief hostage and later set fire to and destroyed his vehicle.  No group claimed responsibility.","Basilan, chief, hostage, Philippines, Sumisip, village chief",0,1,0,Yes,"Firearm, Firebomb/Incendiary","Arson/Firebombing, Barricade/Hostage",Yes,Basilan,No,No,12,Jan,4,2010
201006866,13-Mar-10,2010-03-13,"1 civilian kidnapped by suspected ASG in Lamitan, Basilan, Philippines",Philippines,PH,Lamitan,"6.660833,122.140831","Lamitan, Basilan, Philippines,",Islamic Extremist (Sunni),"On 13 March 2010, in Lamitan, Basilan, Philippines, assailants kidnapped the wife of the Department of Education administrative officer.  On 18 March 2010, at 2:00 PM, authorities rescued the victim.  No group claimed responsibility, although it was believed Abu Sayyaf Group (ASG) was responsible.","Abu Sayyaf Group, administrative office, Basilan, department, education, Lamitan",0,1,0,Yes,Unknown,Kidnapping,Yes,Basilan,No,No,17,Apr,3,2010
201008250,10-May-10,2010-05-10,"Market, polling station targeted in armed attack by suspected political actors in Datu Unsay, Maguindanao, Philippines",Philippines,PH,Datu Unsay,"7.133333,124.300003","Maguindanao, Philippines,",Secular/Political/Anarchist,"On 10 May 2010, at 11:30 AM, in Datu Unsay, Maguindanao, Philippines, armed assailants fired grenades and small arms near a market and polling station, causing no injuries or damage.  No group claimed responsibility, but authorities believed that political actors were responsible.","actor, Maguindanao, market, Philippines, political actor, small arms",0,0,0,Yes,"Firearm, Grenade",Armed Attack,Yes,Maguindanao,No,No,12,Apr,5,2010
200912159,31-Dec-09,2009-12-31,"1 soldier wounded in grenade attack by suspected ASG in Jolo, Sulu, Philippines",Philippines,PH,Jolo,"6.052222,121.002220","Jolo, Sulu, Philippines,",Islamic Extremist (Sunni),"On 31 December 2009, at about 11:20 PM, in Jolo, Sulu, Philippines, armed assailants threw a grenade at the Jolo Cathedral, wounding a soldier who was guarding the cathedral.  No group claimed responsibility, although authorities suspected the Abu Sayyaf Group (ASG) was responsible.","Abu Sayyaf Group, cathedral, Jolo, Philippines, Sulu",0,0,1,Yes,Grenade,Armed Attack,Yes,Sulu,No,No,27,May,12,2010
201011447,13-Jul-10,2010-07-13,"1 civilian killed in armed attack by NPA-CPP in Giporlos, Eastern Samar, Philippines",Philippines,PH,Giporlos,"11.120000,125.449448","Giporlos, Eastern Samar, Philippines,",Secular/Political/Anarchist,"On 13 July 2010, in Coticot, Giporlos, Eastern Samar, Philippines, armed assailants fired upon and killed a former mayor in his business.  New People's Army/Communist Party of Philippines (NPA-CPP) claimed responsibility.","business, Eastern Samar, mayor, Philippines",1,0,0,Yes,Firearm,Armed Attack,Yes,Eastern Samar,No,No,22,Jan,7,2010
201006577,8-Feb-10,2010-02-08,"2 civilians kidnapped by suspected ASG in Maimbung, Sulu, Philippines",Philippines,PH,Maimbung,"5.928500,121.027397","Maimbung, Sulu, Philippines,",Islamic Extremist (Sunni),"On 8 February 2010, in Maimbung, Sulu, Philippines, armed assailants kidnapped two civilians working on a road project funded by the United States (US) government.  On 11 February 2010, the assailants released one of the victims.  On 12 February 2010, at about 7:30 PM, the assailants released the second victim.  No group claimed responsibility, although it was believed the Abu Sayyaf Group (ASG) was responsible.","Abu Sayyaf Group, February, Maimbung, project, road project, Sulu, victim",0,2,0,Yes,Firearm,Kidnapping,Yes,Sulu,No,No,26,Feb,2,2010
201008787,19-May-10,2010-05-19,"Unknown target in IED attack by suspected political group in Zamboanga, Zamboanga, Philippines",Philippines,PH,Zamboanga,"8.000000,122.666664","Zamboanga del Norte, Philippines,",Secular/Political/Anarchist,"On 19 May 2010, at about 8:00 PM, in Putik, Zamboanga, Zamboanga, Philippines, assailants detonated an improvised explosive device (IED), causing no injuries or damage.  No group claimed responsibility, but authorities believed a political group with a grievance with the Office of Muslim Affairs (OMA) was responsible.","authorities, damage, Philippines, political group, Zamboanga",0,0,0,No,"Explosive, IED",Bombing,Yes,Zamboanga,No,Yes,13,Jun,5,2010
201011423,14-Jul-10,2010-07-14,"School targeted in IED attack in Datu Hoffer Ampatuan, Maguindanao, Philippines",Philippines,PH,Datu Hoffer Ampatuan,"7.133333,124.300003","Maguindanao, Philippines,",Unknown,"On 14 July 2010, in Labu Labu, Datu Hoffer Ampatuan, Maguindanao, Philippines, an assailant attempted to detonate an improvised explosive device (IED) in front of an elementary school but the device exploded prematurely, causing no injuries or damage.  No group claimed responsibility.","detonate, elementary school, Front, Maguindanao, Philippines, school",0,0,0,Yes,"Explosive, IED",Bombing,Yes,Maguindanao,No,Yes,31,Aug,7,2010
201010993,7-Jul-10,2010-07-07,"1 civilian kidnapped and killed in armed attack, 1 other kidnapped by suspected NPA-CPP in Bayugan, Agusan del Sur, Philippines",Philippines,PH,Bayugan,"8.756111,125.767502","Bayugan, Agusan del Sur, Philippines,",Secular/Political/Anarchist,"On 7 July 2010, in Bayugan, Agusan del Sur, Philippines, armed assailants kidnapped two civilians riding in a minibus, then fired upon and killed one of the civilians.  No group claimed responsibility, but authorities believed that New People's Army/Communist Party of Philippines (NPA-CPP) was responsible.","Agusan, Army, Bayugan, minibus, New People, Philippines",1,1,0,Yes,Firearm,Armed Attack,Yes,Agusan del Sur,No,No,4,Jan,7,2010
201005782,29-Jan-10,2010-01-29,"Unknown target in double IED attack in Zamboanga, Zamboanga, Philippines",Philippines,PH,Zamboanga,"8.000000,122.666664","Zamboanga del Norte, Philippines,",Unknown,"On 29 January 2010, between 4:00 AM and 5:00 AM, in Zamboanga, Zamboanga, Philippines, assailants detonated two improvised explosive devices (IED) in the center of the city, causing no injuries or damage.  Authorities found and safely defused a third IED at the scene.  No group claimed responsibility.","authorities, center, city, January, Philippines, scene, Zamboanga",0,0,0,Yes,"Explosive, IED","Bombing, Near Miss/Non Attack Incident",Yes,Zamboanga,No,Yes,2,Feb,1,2010
