ICN,Event_Type_List
201000306,Bombing
201000486,Bombing
201000360,Bombing
201000300,Bombing
201000300, Near Miss/Non Attack Incident
201000364,Armed Attack
201000351,Armed Attack
201000303,Armed Attack
201000628,Armed Attack
201005779,Bombing
201000242,Bombing
201000243,Bombing
201000243, Suicide
201000585,Armed Attack
201000617,Armed Attack
201000591,Armed Attack
201009599,Assault
201000824,Assault
201000824, Kidnapping
201006065,Kidnapping
201005747,Kidnapping
201005829,Kidnapping
201005828,Unknown
201000694,Bombing
201006094,Bombing
201000223,Bombing
201000240,Bombing
201000230,Bombing
201000224,Bombing
201000232,Bombing
201000468,Bombing
201000589,Kidnapping
201005751,Armed Attack
201000753,Arson/Firebombing
201000596,Arson/Firebombing
201000241,Armed Attack
201005987,Assault
201000473,Armed Attack
201000473, Bombing
201000647,Bombing
201006037,Bombing
201006032,Bombing
201006036,Bombing
201006075,Bombing
201000726,Bombing
201000238,Bombing
201000430,Bombing
201006082,Armed Attack
201006059,Armed Attack
201006057,Armed Attack
201000650,Armed Attack
201006030,Armed Attack
201000235,Armed Attack
201000236,Armed Attack
201000606,Armed Attack
201005867,Barricade/Hostage
201005867, Theft
201005879,Armed Attack
201005866,Armed Attack
201005866, Assault
201005866, Kidnapping
201005866, Theft
201006058,Armed Attack
201000605,Armed Attack
201000666,Armed Attack
201000635,Armed Attack
201006028,Kidnapping
201006027,Unknown
201006043,Unknown
201006084,Unknown
201006055,Unknown
201006042,Unknown
201006096,Unknown
201006054,Unknown
201006095,Unknown
201006021,Unknown
201006022,Unknown
201005780,Armed Attack
201005780, Bombing
201000652,Bombing
201000652, Suicide
201000649,Bombing
201000279,Bombing
201000692,Armed Attack
201000684,Kidnapping
201000651,Armed Attack
201000663,Armed Attack
201000431,Armed Attack
201000549,Kidnapping
201000276,Armed Attack
201000478,Armed Attack
201000441,Armed Attack
201000436,Bombing
201000436, Suicide
201000321,Armed Attack
201000278,Armed Attack
201006019,Assault
201000433,Kidnapping
201000655,Kidnapping
201000655, Unknown
201005756,Kidnapping
201006014,Unknown
201005951,Unknown
201005875,Bombing
201000690,Bombing
201000739,Bombing
201000296,Bombing
201000297,Bombing
201000280,Bombing
201000313,Bombing
201000307,Bombing
201000311,Bombing
201000444,Bombing
201000445,Bombing
201000686,Armed Attack
201000756,Armed Attack
201000302,Armed Attack
201000442,Armed Attack
201005877,Armed Attack
201006324,Armed Attack
201006898,Armed Attack
201006898, Assault
201005802,Arson/Firebombing
201000620,Arson/Firebombing
201000673,Armed Attack
201006018,Assault
201006018, Kidnapping
201000688,Unknown
201006089,Kidnapping
201000653,Unknown
201000696,Bombing
201006534,Bombing
201000683,Bombing
201000736,Bombing
201000346,Bombing
201000629,Bombing
201005871,Bombing
201005958,Armed Attack
201005958, Bombing
201000654,Armed Attack
201000662,Armed Attack
201000682,Armed Attack
201000607,Armed Attack
201000607, Kidnapping
201000607, Theft
201000349,Armed Attack
201000341,Armed Attack
201000348,Armed Attack
201000590,Kidnapping
201005752,Armed Attack
201005753,Armed Attack
201000344,Armed Attack
201000344, Bombing
201000344, Suicide
201006091,Armed Attack
201005803,Arson/Firebombing
201000389,Armed Attack
201000388,Armed Attack
201000345,Assault
201006079,Unknown
201000656,Bombing
201000671,Bombing
201000350,Bombing
201000392,Bombing
201000397,Bombing
201005786,Bombing
201000447,Bombing
201000362,Armed Attack
201000363,Kidnapping
201000353,Armed Attack
201000723,Kidnapping
201005975,Armed Attack
201006086,Armed Attack
201005804,Arson/Firebombing
201000487,Bombing
201000487, Suicide
201000361,Bombing
201000361, Suicide
201000446,Bombing
201000728,Assault
201006006,Assault
201000489,Unknown
201006078,Unknown
201000627,Kidnapping
201000627, Unknown
201000462,Armed Attack
201000462, Bombing
201006068,Bombing
201000575,Bombing
201000576,Bombing
201000415,Bombing
201000428,Bombing
201000428, Suicide
201005676,Bombing
201000831,Bombing
201000833,Bombing
201000829,Bombing
201005754,Bombing
201000633,Armed Attack
201000464,Armed Attack
201000604,Armed Attack
201000594,Armed Attack
201000592,Armed Attack
201000403,Armed Attack
201000402,Armed Attack
201000399,Armed Attack
201000787,Armed Attack
201000746,Armed Attack
201000459,Armed Attack
201000830,Armed Attack
201000724,Kidnapping
201000636,Armed Attack
201005976,Armed Attack
201006000,Armed Attack
201005806,Arson/Firebombing
201005805,Arson/Firebombing
201000595,Arson/Firebombing
201006007,Assault
